Number of nodes 185 
     0 :  1.0000000e+00  1.0000000e+00 
     1 :  1.0000000e+00 -1.0000000e+00 
     2 : -1.0000000e+00 -1.0000000e+00 
     3 : -1.0000000e+00  1.0000000e+00 
     4 :  1.0000000e+00  8.3333333e-01 
     5 :  1.0000000e+00  6.6666667e-01 
     6 :  1.0000000e+00  5.0000000e-01 
     7 :  1.0000000e+00  3.3333333e-01 
     8 :  1.0000000e+00  1.6666667e-01 
     9 :  1.0000000e+00  2.7534641e-12 
    10 :  1.0000000e+00 -1.6666667e-01 
    11 :  1.0000000e+00 -3.3333333e-01 
    12 :  1.0000000e+00 -5.0000000e-01 
    13 :  1.0000000e+00 -6.6666667e-01 
    14 :  1.0000000e+00 -8.3333333e-01 
    15 :  8.3333333e-01 -1.0000000e+00 
    16 :  6.6666667e-01 -1.0000000e+00 
    17 :  5.0000000e-01 -1.0000000e+00 
    18 :  3.3333333e-01 -1.0000000e+00 
    19 :  1.6666667e-01 -1.0000000e+00 
    20 :  2.7534641e-12 -1.0000000e+00 
    21 : -1.6666667e-01 -1.0000000e+00 
    22 : -3.3333333e-01 -1.0000000e+00 
    23 : -5.0000000e-01 -1.0000000e+00 
    24 : -6.6666667e-01 -1.0000000e+00 
    25 : -8.3333333e-01 -1.0000000e+00 
    26 : -1.0000000e+00 -8.3333333e-01 
    27 : -1.0000000e+00 -6.6666667e-01 
    28 : -1.0000000e+00 -5.0000000e-01 
    29 : -1.0000000e+00 -3.3333333e-01 
    30 : -1.0000000e+00 -1.6666667e-01 
    31 : -1.0000000e+00 -2.7534641e-12 
    32 : -1.0000000e+00  1.6666667e-01 
    33 : -1.0000000e+00  3.3333333e-01 
    34 : -1.0000000e+00  5.0000000e-01 
    35 : -1.0000000e+00  6.6666667e-01 
    36 : -1.0000000e+00  8.3333333e-01 
    37 : -8.3333333e-01  1.0000000e+00 
    38 : -6.6666667e-01  1.0000000e+00 
    39 : -5.0000000e-01  1.0000000e+00 
    40 : -3.3333333e-01  1.0000000e+00 
    41 : -1.6666667e-01  1.0000000e+00 
    42 : -2.7534641e-12  1.0000000e+00 
    43 :  1.6666667e-01  1.0000000e+00 
    44 :  3.3333333e-01  1.0000000e+00 
    45 :  5.0000000e-01  1.0000000e+00 
    46 :  6.6666667e-01  1.0000000e+00 
    47 :  8.3333333e-01  1.0000000e+00 
    48 :  1.3394190e-04 -3.5823540e-04 
    49 :  4.3860352e-01 -1.5652198e-01 
    50 : -4.3919391e-01  1.5633018e-01 
    51 :  1.5647054e-01  4.3848760e-01 
    52 : -1.5604781e-01 -4.3859043e-01 
    53 : -8.3854025e-01  6.7032738e-01 
    54 :  6.7025834e-01  8.3854707e-01 
    55 : -6.7025575e-01 -8.3854778e-01 
    56 :  8.3854770e-01 -6.7025818e-01 
    57 :  1.0130551e-01 -6.6777769e-01 
    58 : -1.0120136e-01  6.6770657e-01 
    59 :  6.6775833e-01  1.0118161e-01 
    60 : -6.6814372e-01 -1.0109758e-01 
    61 : -3.1246920e-01 -1.2134619e-01 
    62 : -1.2116238e-01  3.1214325e-01 
    63 :  1.2101306e-01 -3.1272258e-01 
    64 :  3.1240722e-01  1.2080008e-01 
    65 :  2.3505725e-01  6.9352715e-01 
    66 : -2.3496430e-01 -6.9354146e-01 
    67 :  6.9354176e-01 -2.3505480e-01 
    68 : -6.9034034e-01  2.3626849e-01 
    69 :  1.0245005e-01  2.5774289e-01 
    70 : -1.0165662e-01 -2.5785868e-01 
    71 : -2.5762636e-01  1.0156398e-01 
    72 :  2.5799877e-01 -1.0262745e-01 
    73 :  4.4125720e-01  3.7956903e-01 
    74 : -4.4107986e-01 -3.7968729e-01 
    75 :  3.7966385e-01 -4.4129061e-01 
    76 : -3.7978551e-01  4.4121432e-01 
    77 :  8.4355049e-01 -5.0676403e-01 
    78 : -5.0675571e-01 -8.4355060e-01 
    79 : -8.4399464e-01  5.0697513e-01 
    80 :  5.0676465e-01  8.4354917e-01 
    81 : -8.5636864e-01 -3.4955097e-01 
    82 :  8.5638300e-01  3.4955385e-01 
    83 : -3.4954573e-01  8.5638400e-01 
    84 :  3.4956713e-01 -8.5638572e-01 
    85 :  6.6940424e-01  6.7076398e-01 
    86 : -6.6938833e-01 -6.7076986e-01 
    87 : -6.7081271e-01  6.6950628e-01 
    88 :  6.7076966e-01 -6.6940447e-01 
    89 :  5.0539360e-01  6.8490350e-01 
    90 : -5.0535457e-01 -6.8491301e-01 
    91 : -6.8565250e-01  5.0568499e-01 
    92 :  6.8491236e-01 -5.0539266e-01 
    93 :  3.3487978e-01  5.5657770e-01 
    94 : -3.3470605e-01 -5.5661854e-01 
    95 :  5.5661774e-01 -3.3488586e-01 
    96 : -5.5814824e-01  3.3519576e-01 
    97 :  5.5259699e-02  6.2578250e-01 
    98 : -5.5081655e-02 -6.2584858e-01 
    99 :  6.2583872e-01 -5.5278435e-02 
   100 : -6.2722399e-01  5.5505434e-02 
   101 : -4.4560852e-02  8.3231132e-01 
   102 :  4.4605156e-02 -8.3233306e-01 
   103 :  8.3232783e-01  4.4556471e-02 
   104 : -8.3281767e-01 -4.4416148e-02 
   105 :  3.4080895e-01  8.4034559e-01 
   106 : -3.4078290e-01 -8.4035012e-01 
   107 :  8.4034990e-01 -3.4080804e-01 
   108 : -8.4175109e-01  3.4116042e-01 
   109 :  1.9731904e-01  5.8554256e-01 
   110 : -1.9710504e-01 -5.8559299e-01 
   111 : -5.8758803e-01  1.9763457e-01 
   112 :  5.8559318e-01 -1.9733216e-01 
   113 :  1.1783897e-02  4.6686485e-01 
   114 : -1.1477186e-02 -4.6704885e-01 
   115 :  4.6701299e-01 -1.1874752e-02 
   116 : -4.6744024e-01  1.1621760e-02 
   117 : -1.0534130e-02  3.4931341e-01 
   118 :  1.0818480e-02 -3.4965452e-01 
   119 :  3.4957339e-01  1.0330729e-02 
   120 : -3.4956437e-01 -1.0905395e-02 
   121 :  6.6684268e-01  4.7280739e-01 
   122 : -6.6679796e-01 -4.7283028e-01 
   123 : -4.7288423e-01  6.6689287e-01 
   124 :  4.7283549e-01 -6.6684912e-01 
   125 : -3.9962678e-01 -2.7598137e-01 
   126 :  3.9982071e-01  2.7575189e-01 
   127 :  2.7591063e-01 -3.9991131e-01 
   128 : -2.7590037e-01  3.9961285e-01 
   129 : -1.6389077e-01 -6.9642620e-02 
   130 : -6.9443295e-02  1.6368936e-01 
   131 :  6.9212299e-02 -1.6436150e-01 
   132 :  1.6415992e-01  6.9010270e-02 
   133 : -4.8351236e-01 -1.6473619e-01 
   134 :  4.8341658e-01  1.6453903e-01 
   135 :  1.6474466e-01 -4.8349929e-01 
   136 : -1.6465139e-01  4.8325986e-01 
   137 :  2.8886350e-01  2.6600460e-01 
   138 : -2.8854231e-01 -2.6626382e-01 
   139 :  2.6617814e-01 -2.8899290e-01 
   140 : -2.6622031e-01  2.8851065e-01 
   141 :  1.5122854e-01  7.9709420e-01 
   142 : -1.5116327e-01 -7.9711420e-01 
